Test	Confs. (features enabled)
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, GUI, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_WHATEVER, GUI, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, GUI, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_WHATEVER, GUI, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_MANAGER, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, GUI, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, GUI, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_WHATEVER, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_WHATEVER, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_WHATEVER, GUI, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_WHATEVER, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_MANAGER, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_WHATEVER, GUI, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_MANAGER, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, GUI, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_WHATEVER, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_DEPARTMENT, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_MANAGER, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_WHATEVER, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_DEPARTMENT, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_WHATEVER, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_MANAGER, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_DEPARTMENT, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_DEPARTMENT, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_WHATEVER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_WHATEVER, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_DEPARTMENT
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_MANAGER, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_DEPARTMENT
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_WHATEVER, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_WHATEVER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_MANAGER, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_WHATEVER, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_MANAGER, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_MANAGER
