Test	Confs. (features enabled)
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	COMPRESS, EXTRACT
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	ARCHIVECHECK, COMPRESS, EXTRACT
tests.Example_Paulo.testADLER32CHECKSUM___(Example_Paulo.java:130)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testARCHIVECHECK(Example_Paulo.java:50)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testARCHIVECHECK(Example_Paulo.java:50)	ARCHIVECHECK, CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testARCHIVECHECK(Example_Paulo.java:50)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testARCHIVECHECK(Example_Paulo.java:50)	ADLER32CHECKSUM, ARCHIVECHECK, EXTRACT
