Test	Confs. (features enabled)
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:145)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, DIRECTED, NUMBER, SEARCH
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:126)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, DIRECTED, NUMBER, SEARCH
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, DIRECTED, SEARCH
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:197)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
